test_type,iterations,threads,time_seconds
sequential,10,1,1.765037897
parallel,10,4,.456419291
sequential,10,1,1.759459873
parallel,10,4,.441917821
sequential,10,1,1.690133355
parallel,10,4,.336025637
sequential,10,1,1.812657369
parallel,10,6,.317908834
sequential,10,1,1.767221208
parallel,10,6,.401799617
sequential,10,1,1.820237725
parallel,10,6,.356837662
sequential,10,1,1.885430104
parallel,10,8,.502447742
sequential,10,1,2.072014449
parallel,10,8,.587762997
sequential,10,1,2.148237881
parallel,10,8,1.111389388
sequential,20,1,4.217376395
parallel,20,4,.653596009
sequential,20,1,3.604584280
parallel,20,4,.657459922
sequential,20,1,3.803951612
parallel,20,4,.661711738
sequential,20,1,3.552636066
parallel,20,6,.566897845
sequential,20,1,3.912958492
parallel,20,6,.725797680
sequential,20,1,3.678662650
parallel,20,6,.817759991
sequential,20,1,3.880589141
parallel,20,8,.735340568
sequential,20,1,3.425628821
parallel,20,8,1.911380627
sequential,20,1,3.863236518
parallel,20,8,1.130219095
sequential,30,1,6.498326995
parallel,30,4,1.498409855
sequential,30,1,6.469314957
parallel,30,4,.897304403
sequential,30,1,5.660643120
parallel,30,4,1.219567992
sequential,30,1,5.548967298
parallel,30,6,1.589084813
sequential,30,1,5.890890786
parallel,30,6,1.433035434
sequential,30,1,5.715500865
parallel,30,6,1.093147937
sequential,30,1,6.489413321
parallel,30,8,1.551655649
sequential,30,1,5.388848506
parallel,30,8,2.059574304
sequential,30,1,5.382280031
parallel,30,8,1.247285047
sequential,40,1,6.929748600
parallel,40,4,1.240117556
sequential,40,1,6.935272264
parallel,40,4,1.390770349
sequential,40,1,7.386802353
parallel,40,4,1.240781911
sequential,40,1,6.856856368
parallel,40,6,1.206106687
sequential,40,1,6.938746569
parallel,40,6,1.695040580
sequential,40,1,7.413530302
parallel,40,6,1.270752008
sequential,40,1,6.774434521
parallel,40,8,1.599011814
sequential,40,1,7.080682908
parallel,40,8,1.649619882
sequential,40,1,8.452493327
parallel,40,8,1.488548988
sequential,50,1,8.697190897
parallel,50,4,1.593834022
sequential,50,1,9.845738329
parallel,50,4,2.246630625
sequential,50,1,9.209026409
parallel,50,4,1.428391365
sequential,50,1,8.738721052
parallel,50,6,1.673615863
sequential,50,1,9.900135495
parallel,50,6,1.640075116
sequential,50,1,8.404636946
parallel,50,6,1.518853838
sequential,50,1,8.543181885
parallel,50,8,2.551158428
sequential,50,1,8.724567354
parallel,50,8,2.006695686
sequential,50,1,8.970596067
parallel,50,8,2.431243415
sequential,60,1,10.643748576
parallel,60,4,2.137044082
sequential,60,1,10.459741460
parallel,60,4,1.844782462
sequential,60,1,11.119496833
parallel,60,4,2.010183254
sequential,60,1,10.811926487
parallel,60,6,1.978134515
sequential,60,1,10.442578051
parallel,60,6,2.104311958
sequential,60,1,10.872230374
parallel,60,6,1.468519492
sequential,60,1,11.017803841
parallel,60,8,2.981886781
sequential,60,1,11.557203939
parallel,60,8,2.827881718
sequential,60,1,10.941900822
parallel,60,8,4.501241530
sequential,70,1,16.304362685
parallel,70,4,2.629490484
sequential,70,1,13.364411590
parallel,70,4,2.444394408
sequential,70,1,12.635056684
parallel,70,4,2.417798690
sequential,70,1,12.997173903
parallel,70,6,2.030683274
sequential,70,1,12.418396656
parallel,70,6,2.473385506
sequential,70,1,14.255227262
parallel,70,6,2.326481118
sequential,70,1,13.031859344
parallel,70,8,4.835104616
sequential,70,1,12.073720343
parallel,70,8,3.121327100
sequential,70,1,13.147419992
parallel,70,8,2.597714279
